Bandseite,L
Bandtyp,Elkuch 16-4
Betriebsauftrag,NA
Besonderes,0 
Bodeneinstand,40
Brandschutz,0
Drückergarnitur,0
Einlaufseite_von_aussen,NA
Farbe_Bandseite,RAL9016
Farbe_Futterseite,RAL9016
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Montageart,NA
Maueraufbau_Bandseite,10
Maueraufbau_Futterseite,10
Mauerlichthöhe_Massaufnahme,
Mauerlichthöhe_Massaufnahme_ab_MtR,
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,
Mauerlichtbreite_plan,880
Mauerstärke_Massaufnahme,
Mauerstärke_plan,180
Muschelgriff_typ,NA
Rahmenfalztiefe,NA
Rahmenfalzbreite,NA
Schiebtürbeschlag,NA
Schloss,NA
Schlosstyp,1001_BB
Schwelle,0 
Schwellentyp,VFS
Typ,UDS
Türblattdicke,39
Türblattkern,RS
Türblatttyp,Optima30
Umfassungstyp,NA
Zargen-Profil,UDS
Zargenfalztiefe,46
Zargenfalzbreite,17
